Names,profession,job_length,state,homeownership,annual_income,monthly_wage,debt_to_income,total_credit_limit,total_credit_utilized,loan_purpose,loan_amount,term,interest_rate,installment,total_payment,ten_of monthly,spent_strategy,issue_date,payoff_date
Roberta Anderson,,,TX,OWN,"62,000","5,167",17.91,78139,26536.00,debt_consolidation,23000,60,24.84,673,51566,67,4020,3/1/2018,3/1/2023
Roberta Davis,,,CA,OWN,"33,300","2,775",17.91,15600,10128.00,home_improvement,10000,36,19.42,369,15826,37,1332,3/1/2018,3/1/2021
John Schwartz,mri technologist,10,GA,MORTGAGE,"120,000","10,000",17.91,338012,38575.00,debt_consolidation,24000,36,7.35,745,29292,74,2664,1/1/2018,1/1/2021
Amanda Ward,analyst,7,MI,OWN,"80,000","6,667",17.9,65433,44650.00,debt_consolidation,25000,36,13.58,849,35185,85,3060,3/1/2018,3/1/2021
Tiffany Lopez,material handler,10,TX,OWN,"89,000","7,417",17.89,295802,49306.00,credit_card,15000,36,10.91,490,19910,49,1764,2/1/2018,2/1/2021
Paul Simon,teacher/administrator,10,NY,MORTGAGE,"135,400","11,283",17.89,533299,150720.00,credit_card,35000,60,10.9,759,54075,76,4560,3/1/2018,3/1/2023
Ricky Martinez,income manteinance caseworker,0,PA,MORTGAGE,"45,000","3,750",17.89,239710,135938.00,credit_card,18000,60,13.58,415,30222,41,2460,3/1/2018,3/1/2023
Amy Lam,regional manager,10,TN,OWN,"126,000","10,500",17.88,140184,118766.00,credit_card,20000,36,7.96,626,24776,63,2268,2/1/2018,2/1/2021
Shawn Willis,instructor,9,FL,MORTGAGE,"50,000","4,167",17.88,541153,37410.00,major_purchase,8000,36,13.58,272,11259,27,972,3/1/2018,3/1/2021
Barbara Freeman,librarian,10,MS,RENT,"47,000","3,917",17.88,161709,8113.00,debt_consolidation,7900,36,6.71,243,9490,24,864,3/1/2018,3/1/2021
Devon Davenport,social worker ,5,SC,MORTGAGE,"40,000","3,333",17.88,299130,192041.00,debt_consolidation,8300,36,7.96,260,10282,26,936,3/1/2018,3/1/2021
Ashley Martin,ceo,3,PA,MORTGAGE,"125,000","10,417",17.87,488204,111106.00,credit_card,40000,60,7.35,799,54700,80,4800,1/1/2018,1/1/2023
Lauren Spencer,forlkift opperator,10,NJ,RENT,"56,800","4,733",17.87,31300,17408.00,home_improvement,5000,36,10.91,163,6637,16,576,1/1/2018,1/1/2021
Ricardo Garcia,financial advisor,9,TX,MORTGAGE,"65,000","5,417",17.87,320622,39092.00,credit_card,20000,36,13.58,679,28148,68,2448,3/1/2018,3/1/2021
Mckenzie Murray,court officer,0,NY,MORTGAGE,"60,000","5,000",17.86,47800,32393.00,debt_consolidation,17150,36,12.62,575,23643,57,2052,2/1/2018,2/1/2021
Paula Gallagher,consumer marketing director,7,NY,RENT,"100,000","8,333",17.86,131338,103688.00,debt_consolidation,20000,36,10.42,649,26252,65,2340,1/1/2018,1/1/2021
Austin Williams,manager,0,CO,RENT,"100,000","8,333",17.86,166240,39650.00,other,40000,60,9.43,839,58860,84,5040,2/1/2018,2/1/2023
Molly Bell,production supervisor ,10,AZ,MORTGAGE,"90,000","7,500",17.86,327683,52642.00,home_improvement,36000,60,13.59,830,60462,83,4980,1/1/2018,1/1/2023
Christina Huff,associate pastor,3,KS,MORTGAGE,"110,000","9,167",17.85,251721,233230.00,credit_card,30000,36,16.01,"1,055",44409,105,3780,3/1/2018,3/1/2021
Alyssa Brennan,superintendent,10,NJ,RENT,"38,000","3,167",17.85,33232,22558.00,debt_consolidation,10000,36,17.09,357,15127,36,1296,2/1/2018,2/1/2021
Kelly Moss,welder,5,AZ,RENT,"40,000","3,333",17.85,41378,29404.00,other,1000,36,22.9,39,1687,4,144,2/1/2018,2/1/2021
Phillip Thomas,president,10,NY,MORTGAGE,"67,600","5,633",17.84,136906,30244.00,debt_consolidation,20000,36,10.41,649,26246,65,2340,2/1/2018,2/1/2021
Stephen Frederick,"sports manager, ad sales marketing",2,NJ,MORTGAGE,"88,000","7,333",17.84,382461,58515.00,debt_consolidation,16000,36,9.43,512,20526,51,1836,3/1/2018,3/1/2021
Mark Walsh,client account coordinator ,0,OR,OWN,"70,000","5,833",17.83,246704,40676.00,credit_card,35000,60,17.09,872,64908,87,5220,1/1/2018,1/1/2023
Cynthia Perez,mgr - customer qa,10,WI,MORTGAGE,"85,000","7,083",17.83,388885,110146.00,debt_consolidation,19000,60,7.35,379,25983,38,2280,1/1/2018,1/1/2023
Nicole Perkins,own truckdriver,10,TX,OWN,"150,000","12,500",17.83,127440,59551.00,debt_consolidation,25000,36,10.41,812,32808,81,2916,3/1/2018,3/1/2021
William Hernandez,rural delivery ,10,CO,MORTGAGE,"48,000","4,000",17.83,74725,41541.00,debt_consolidation,13500,36,6.72,415,16222,42,1512,3/1/2018,3/1/2021
Russell Torres,engineer,7,WA,MORTGAGE,"98,000","8,167",17.83,546050,56980.00,medical,6000,36,11.98,199,8156,20,720,3/1/2018,3/1/2021
Angela Morton,branch manager,9,CA,MORTGAGE,"100,000","8,333",17.83,336030,71364.00,other,10500,36,9.93,338,13628,34,1224,1/1/2018,1/1/2021
David Ruiz,merchandiser,1,FL,RENT,"28,000","2,333",17.83,25122,13244.00,credit_card,2800,36,13.59,95,3942,10,360,2/1/2018,2/1/2021
Alan Wilson,director of academic success center,3,GA,MORTGAGE,"50,000","4,167",17.83,224996,46806.00,debt_consolidation,27000,36,13.58,917,38000,92,3312,3/1/2018,3/1/2021
Jennifer Perkins,,,NC,MORTGAGE,"38,560","3,213",17.82,108000,8362.00,home_improvement,16000,36,6.08,487,18918,49,1764,1/1/2018,1/1/2021
Jamie Kim,auditor,10,NC,MORTGAGE,"70,000","5,833",17.81,333854,46577.00,debt_consolidation,32000,36,9.93,"1,032",41533,103,3708,2/1/2018,2/1/2021
Alyssa Young,staff rn 2,10,CA,MORTGAGE,"120,000","10,000",17.81,474829,38032.00,home_improvement,20000,36,5.32,602,23192,60,2160,2/1/2018,2/1/2021
Jonathan Hull,divisional secretary (coo),10,OR,RENT,"98,000","8,167",17.81,76719,60179.00,debt_consolidation,35000,60,15.04,833,61320,83,4980,3/1/2018,3/1/2023
Tyler Wade,director of pfs,2,TX,RENT,"79,500","6,625",17.8,155991,115711.00,debt_consolidation,12000,36,6.72,369,14419,37,1332,2/1/2018,2/1/2021
Ruth Ray,vp,8,OH,MORTGAGE,"135,000","11,250",17.8,373878,48203.00,debt_consolidation,19200,60,11.98,427,30701,43,2580,3/1/2018,3/1/2023
Bethany Reynolds,executive director,3,TX,MORTGAGE,"114,000","9,500",17.8,248571,78033.00,debt_consolidation,16000,36,16.02,563,23690,56,2016,2/1/2018,2/1/2021
Robert Frye,receptionist,5,NY,RENT,"76,000","6,333",17.79,47336,18269.00,other,4300,36,12.62,144,5928,14,504,1/1/2018,1/1/2021
Dr. Jonathan Hodge,police,10,VA,MORTGAGE,"62,000","5,167",17.79,200265,29913.00,debt_consolidation,18000,60,10.9,390,27810,39,2340,3/1/2018,3/1/2023
Dr. Brandy Morris DDS,pm/pdm tech,10,CA,RENT,"105,000","8,750",17.79,72492,39625.00,debt_consolidation,16000,60,19.03,415,31224,42,2520,2/1/2018,2/1/2023
Jessica Salazar,facilities mechanic,10,NC,MORTGAGE,"99,000","8,250",17.78,338189,62959.00,credit_card,25000,60,6.71,492,33388,49,2940,2/1/2018,2/1/2023
Monique Nichols,night operations manager ,10,FL,OWN,"94,000","7,833",17.78,70211,33017.00,debt_consolidation,8000,36,16.01,281,11842,28,1008,3/1/2018,3/1/2021
Dave Carpenter,carpenter,2,NV,MORTGAGE,"75,000","6,250",17.78,260722,20513.00,debt_consolidation,15000,60,18.06,381,28545,38,2280,2/1/2018,2/1/2023
Jim Jacobson,it manager,10,LA,MORTGAGE,"120,000","10,000",17.77,535313,82641.00,credit_card,30000,36,7.34,931,36606,93,3348,2/1/2018,2/1/2021
Mikayla Baxter,"manager, product management",10,MA,RENT,"225,000","18,750",17.77,194499,91275.00,debt_consolidation,30000,36,17.09,"1,071",45381,107,3852,2/1/2018,2/1/2021
Rachel Brady,vision center sales,7,FL,RENT,"55,000","4,583",17.76,76805,31810.00,major_purchase,36000,36,7.97,"1,128",44608,113,4068,1/1/2018,1/1/2021
William Suarez,receptionist,0,FL,RENT,"58,000","4,833",17.76,201092,20608.00,credit_card,16000,36,17.47,574,24386,57,2052,3/1/2018,3/1/2021
John Hernandez,business analyst,0,SC,MORTGAGE,"140,000","11,667",17.75,232652,72225.00,renewable_energy,13000,60,15.04,310,22776,31,1860,3/1/2018,3/1/2023
Tara Golden,sales mgr,3,FL,MORTGAGE,"60,000","5,000",17.75,197562,26976.00,debt_consolidation,12000,36,9.43,384,15395,38,1368,3/1/2018,3/1/2021
Susan Evans,owner,5,CT,MORTGAGE,"52,000","4,333",17.75,41537,16079.00,debt_consolidation,6300,36,9.44,202,8084,20,720,2/1/2018,2/1/2021
Jeremy Hoffman,office administrator,5,NJ,RENT,"73,000","6,083",17.75,71684,44532.00,debt_consolidation,14000,60,9.93,297,20951,30,1800,1/1/2018,1/1/2023
Judy Case,owner,10,NC,MORTGAGE,"70,000","5,833",17.74,156734,41207.00,debt_consolidation,20000,60,11.99,445,31990,44,2640,1/1/2018,1/1/2023
Pamela Harmon DDS,desk sgt,8,MO,MORTGAGE,"65,000","5,417",17.74,329489,30284.00,debt_consolidation,18000,36,7.35,559,21969,56,2016,2/1/2018,2/1/2021
Sheena Smith,,,CA,RENT,"75,000","6,250",17.74,72903,42822.00,debt_consolidation,36000,36,9.93,"1,160",46724,116,4176,2/1/2018,2/1/2021
Leah Cervantes,project manager,2,TX,OWN,"80,000","6,667",17.73,76316,47359.00,credit_card,20000,36,7.97,626,24782,63,2268,2/1/2018,2/1/2021
Jennifer Baker,,,NY,RENT,"18,000","1,500",17.73,8900,5266.00,debt_consolidation,5100,36,17.09,182,7715,18,648,2/1/2018,2/1/2021
Victoria Wagner,lead representative,10,NY,MORTGAGE,"44,000","3,667",17.73,260500,54441.00,credit_card,30000,60,14.07,699,51105,70,4200,2/1/2018,2/1/2023
Andrew Weaver,financial service representative,1,KS,RENT,"35,000","2,917",17.73,26100,10931.00,debt_consolidation,16000,60,21.45,437,33160,44,2640,1/1/2018,1/1/2023
Nicole Bennett,managing director,5,OR,MORTGAGE,"144,000","12,000",17.72,630813,429919.00,other,3000,36,16.02,106,4442,11,396,2/1/2018,2/1/2021
Donna Lewis,business analyst iii,10,TX,MORTGAGE,"80,000","6,667",17.71,219527,61093.00,other,30000,60,13.58,692,50370,69,4140,3/1/2018,3/1/2023
Mark Spencer,support engineer/web designer,10,RI,RENT,"45,000","3,750",17.71,72269,35160.00,debt_consolidation,18000,60,11.98,400,28782,40,2400,3/1/2018,3/1/2023
Janet Jackson,administration,10,MA,RENT,"69,467","5,789",17.71,88672,50565.00,credit_card,22000,36,5.32,663,25511,66,2376,2/1/2018,2/1/2021
Benjamin Petersen,field supervisor,10,TN,MORTGAGE,"100,000","8,333",17.71,115045,57013.00,debt_consolidation,7200,36,15.05,250,10451,25,900,1/1/2018,1/1/2021
Alicia Jackson,supervisor,10,CA,MORTGAGE,"58,000","4,833",17.71,395750,26178.00,other,4800,36,15.04,166,6966,17,612,2/1/2018,2/1/2021
Bethany Gutierrez,mall security supervisor,6,AZ,RENT,"25,000","2,083",17.71,28352,13094.00,other,10000,60,15.05,238,17525,24,1440,2/1/2018,2/1/2023
Benjamin Lee,application support analyst,2,OH,RENT,"50,000","4,167",17.71,63614,47000.00,debt_consolidation,3200,36,21.45,121,5259,12,432,1/1/2018,1/1/2021
Samuel Smith,teacher ,10,MA,MORTGAGE,"80,000","6,667",17.7,540881,50552.00,debt_consolidation,6050,36,10.42,196,7941,20,720,1/1/2018,1/1/2021
Susan Coleman,project specialist,10,FL,RENT,"80,000","6,667",17.7,60829,27835.00,credit_card,4000,36,10.41,130,5249,13,468,3/1/2018,3/1/2021
Ryan Gonzales,lpc,5,VA,MORTGAGE,"75,000","6,250",17.7,479837,162866.00,debt_consolidation,20000,60,17.09,498,37090,50,3000,1/1/2018,1/1/2023
Samantha Taylor,banquet supervisor,10,FL,OWN,"55,000","4,583",17.7,66269,27415.00,credit_card,20000,36,9.44,640,25664,64,2304,2/1/2018,2/1/2021
Jeremy Maldonado,financial analyst,3,NM,MORTGAGE,"73,623","6,135",17.7,311218,114335.00,credit_card,18200,60,9.93,386,27236,39,2340,1/1/2018,1/1/2023
Austin Bell,loader/unloader,1,GA,RENT,"26,304","2,192",17.7,25802,20654.00,small_business,7000,36,11.98,232,9516,23,828,3/1/2018,3/1/2021
Stephanie Obrien,billing & admin,10,WA,OWN,"50,000","4,167",17.69,27000,14359.00,debt_consolidation,6000,36,15.04,208,8707,21,756,3/1/2018,3/1/2021
Chad Nash,sales,10,CA,MORTGAGE,"220,000","18,333",17.69,357216,147555.00,debt_consolidation,20400,36,6.08,621,24121,62,2232,1/1/2018,1/1/2021
Steven Daugherty,mental health worker,10,NY,RENT,"37,000","3,083",17.69,44900,20953.00,debt_consolidation,26400,60,12.62,596,43058,60,3600,1/1/2018,1/1/2023
Amy Castillo,workers compensation ,8,PA,OWN,"66,000","5,500",17.69,58150,42177.00,other,1200,36,11.99,40,1632,4,144,1/1/2018,1/1/2021
Matthew Schroeder,cems technician,10,TX,OWN,"95,000","7,917",17.69,153376,85445.00,car,3500,36,6.08,107,4138,11,396,2/1/2018,2/1/2021
Casey Benjamin,sr info security analyst,10,MN,MORTGAGE,"104,000","8,667",17.68,216477,45508.00,credit_card,39000,36,5.31,"1,174",45213,117,4212,3/1/2018,3/1/2021
Marisa Hensley,boss,10,OH,MORTGAGE,"105,000","8,750",17.68,302657,54050.00,credit_card,28000,60,17.09,697,51926,70,4200,2/1/2018,2/1/2023
Samantha Hill,office administrator,4,TX,RENT,"95,000","7,917",17.68,62800,33897.00,debt_consolidation,30000,36,10.42,974,39378,97,3492,1/1/2018,1/1/2021
Franklin Fields,supervisory msa,2,IL,RENT,"46,500","3,875",17.68,41330,37214.00,other,10800,60,13.59,249,18139,25,1500,1/1/2018,1/1/2023
Samantha Allen,executive assistant,3,CA,RENT,"109,000","9,083",17.68,128694,23558.00,debt_consolidation,20000,36,6.08,609,23648,61,2196,1/1/2018,1/1/2021
Ashley Reyes,general manager,10,AL,OWN,"120,000","10,000",17.68,88189,42977.00,debt_consolidation,6000,36,10.9,196,7962,20,720,3/1/2018,3/1/2021
Jason Barker,associate professor,9,MO,MORTGAGE,"71,000","5,917",17.67,259407,31078.00,debt_consolidation,24500,60,9.93,520,36664,52,3120,1/1/2018,1/1/2023
Isaiah Hammond,,,MI,OWN,"14,000","1,167",17.67,26800,8071.00,debt_consolidation,8500,36,6.72,261,10214,26,936,1/1/2018,1/1/2021
Jeffrey Reed,sr operations analyst,10,OR,RENT,"72,672","6,056",17.67,126908,81236.00,debt_consolidation,5500,36,18.45,200,8544,20,720,3/1/2018,3/1/2021
Eugene Barr,advisor,10,RI,MORTGAGE,"98,000","8,167",17.67,332710,43098.00,debt_consolidation,35000,60,11.98,778,55965,78,4680,3/1/2018,3/1/2023
Nicholas Moore,general manager,10,GA,RENT,"40,000","3,333",17.67,38819,25519.00,debt_consolidation,7000,36,9.43,224,8980,22,792,3/1/2018,3/1/2021
Stephanie Wilson,asset protection specialist,3,CO,RENT,"35,860","2,988",17.67,32350,15627.00,debt_consolidation,13000,60,15.05,310,22783,31,1860,2/1/2018,2/1/2023
Lisa Kane,manager,0,GA,RENT,"91,000","7,583",17.67,101412,50886.00,credit_card,25000,60,15.05,595,43813,60,3600,1/1/2018,1/1/2023
Dennis Williams,live sound engineer,2,NY,RENT,"58,000","4,833",17.67,45757,32160.00,major_purchase,14000,36,10.41,454,18372,45,1620,3/1/2018,3/1/2021
Alexandra Scott,psychologist,0,SC,RENT,"42,000","3,500",17.66,257256,282639.00,car,2000,36,17.09,71,3025,7,252,2/1/2018,2/1/2021
John Zuniga,extruder operator,10,OH,MORTGAGE,"69,996","5,833",17.66,55521,35908.00,debt_consolidation,6000,36,17.09,214,9076,21,756,1/1/2018,1/1/2021
Bobby Collins,co-owner,10,MO,OWN,"60,000","5,000",17.66,40100,16451.00,credit_card,10000,60,14.08,233,17040,23,1380,2/1/2018,2/1/2023
Albert Ware,,,NY,MORTGAGE,"105,000","8,750",17.66,534441,40552.00,debt_consolidation,35000,60,17.47,879,65573,88,5280,3/1/2018,3/1/2023
Barbara Kidd,manager,8,NY,RENT,"26,500","2,208",17.66,68100,59749.00,other,20200,36,18.06,731,31144,73,2628,1/1/2018,1/1/2021
Alison Baker,business manager,10,MA,RENT,"65,000","5,417",17.65,109218,26805.00,debt_consolidation,6025,36,5.31,181,6985,18,648,3/1/2018,3/1/2021
Derrick Valencia,professor,10,GA,MORTGAGE,"89,000","7,417",17.65,388245,43864.00,debt_consolidation,30000,36,5.32,903,34788,90,3240,2/1/2018,2/1/2021
Angel Martin,specimen processor,5,IL,MORTGAGE,"112,000","9,333",17.65,236499,62187.00,debt_consolidation,13000,36,5.32,392,15075,39,1404,1/1/2018,1/1/2021
Felicia Malone,driver,8,MA,MORTGAGE,"37,000","3,083",17.65,28550,15714.00,debt_consolidation,30000,60,24.84,878,67260,88,5280,3/1/2018,3/1/2023
Manuel Boyd,resp therapist,10,CA,MORTGAGE,"110,000","9,167",17.65,623204,58143.00,debt_consolidation,18000,36,12.61,603,24809,60,2160,3/1/2018,3/1/2021
Felicia Williams,appraiser,0,UT,RENT,"24,000","2,000",17.65,23200,13415.00,debt_consolidation,10000,36,10.41,325,13123,32,1152,3/1/2018,3/1/2021
Richard Lopez,general manager,10,FL,OWN,"115,000","9,583",17.64,471316,79729.00,debt_consolidation,25000,60,10.42,536,38025,54,3240,1/1/2018,1/1/2023
Benjamin Lewis,parts specialist,10,WA,MORTGAGE,"70,000","5,833",17.64,251365,43258.00,home_improvement,12000,36,7.96,376,14866,38,1368,3/1/2018,3/1/2021
Stephanie Williams,agency records manager,10,VA,MORTGAGE,"155,000","12,917",17.64,488625,70931.00,debt_consolidation,10000,36,10.41,325,13123,32,1152,3/1/2018,3/1/2021
Christopher Burton,ap coordinator,2,NY,RENT,"90,000","7,500",17.64,83637,60036.00,credit_card,8000,36,20,297,12800,30,1080,1/1/2018,1/1/2021
Cynthia Archer,production tech,4,KY,RENT,"80,000","6,667",17.64,54991,29219.00,debt_consolidation,20000,60,12.61,451,32610,45,2700,3/1/2018,3/1/2023
Tammy Marsh,lamination,2,IN,MORTGAGE,"60,000","5,000",17.64,184275,22540.00,debt_consolidation,3000,36,12.62,101,4136,10,360,1/1/2018,1/1/2021
Angela Luna,vp interior design ,10,NV,MORTGAGE,"160,000","13,333",17.63,440467,92416.00,credit_card,36000,60,9.43,755,52974,75,4500,3/1/2018,3/1/2023
Trevor Larsen PhD,,,WA,RENT,"42,000","3,500",17.63,24330,17051.00,debt_consolidation,17000,36,13.59,578,23931,58,2088,1/1/2018,1/1/2021
Henry Norton,lead architect,0,OH,MORTGAGE,"112,000","9,333",17.63,375114,41615.00,debt_consolidation,10400,36,15.04,361,15092,36,1296,3/1/2018,3/1/2021
Russell Ruiz,pharmacist ,0,NV,RENT,"126,000","10,500",17.63,244082,256297.00,major_purchase,30000,60,20,795,60000,79,4740,1/1/2018,1/1/2023
Michelle Mosley DVM,escrow officer,2,TX,OWN,"89,000","7,417",17.62,231700,32951.00,credit_card,16000,36,13.58,544,22518,54,1944,3/1/2018,3/1/2021
Charles Thomas,assistant to internet director,4,TX,MORTGAGE,"67,764","5,647",17.62,36414,20547.00,debt_consolidation,12000,36,13.58,408,16889,41,1476,3/1/2018,3/1/2021
Leslie Ross,purchasing,10,AR,MORTGAGE,"47,028","3,919",17.62,117025,25122.00,major_purchase,1500,36,6.72,46,1802,5,180,2/1/2018,2/1/2021
Amy Rhodes,regional director,2,SC,MORTGAGE,"85,000","7,083",17.61,50967,20742.00,credit_card,5000,36,7.35,155,6103,16,576,1/1/2018,1/1/2021
Shelly Lester,lot tech/porter,10,OK,OWN,"34,500","2,875",17.6,85900,17335.00,debt_consolidation,5500,36,6.71,169,6607,17,612,3/1/2018,3/1/2021
Dave Fox,legal assistant,9,TX,MORTGAGE,"72,000","6,000",17.6,60586,47104.00,house,8000,36,16.02,281,11845,28,1008,3/1/2018,3/1/2021
Derrick Sawyer,teacher,4,GA,MORTGAGE,"56,400","4,700",17.6,285357,18533.00,credit_card,16000,36,11.98,531,21750,53,1908,3/1/2018,3/1/2021
Virginia Gray,dental assistent ,3,WA,OWN,"15,000","1,250",17.6,12944,7297.00,major_purchase,1700,36,10.91,56,2256,6,216,2/1/2018,2/1/2021
Charles Carter,regional account manager,3,GA,MORTGAGE,"87,500","7,292",17.59,63500,42419.00,debt_consolidation,35000,60,19.03,909,68303,91,5460,1/1/2018,1/1/2023
Karen Vance,owner,3,FL,RENT,"102,947","8,579",17.59,140700,116934.00,other,32000,36,10.91,"1,046",42474,105,3780,1/1/2018,1/1/2021
Thomas Clarke,fueler ,3,CA,RENT,"55,000","4,583",17.59,42675,15321.00,credit_card,15000,36,7.35,466,18308,47,1692,1/1/2018,1/1/2021
Donald Johns,registered nurse,0,MO,MORTGAGE,"60,000","5,000",17.58,256640,66507.00,debt_consolidation,8300,36,13.59,282,11684,28,1008,1/1/2018,1/1/2021
Lisa Berger,procurement account manager,1,AL,MORTGAGE,"101,200","8,433",17.58,323213,61599.00,debt_consolidation,35000,36,7.97,"1,096",43369,110,3960,2/1/2018,2/1/2021
Vincent Walker,owner,9,FL,RENT,"85,000","7,083",17.57,51617,27912.00,credit_card,10000,36,6.71,307,12013,31,1116,3/1/2018,3/1/2021
Samantha Hutchinson,technical architect,4,MD,MORTGAGE,"150,000","12,500",17.57,445786,117574.00,debt_consolidation,25000,60,10.42,536,38025,54,3240,1/1/2018,1/1/2023
Christopher Hill,,,RI,RENT,"78,816","6,568",17.57,118155,45550.00,other,13000,36,7.97,407,16108,41,1476,1/1/2018,1/1/2021
Justin Allen,technician,10,FL,MORTGAGE,"50,000","4,167",17.57,34011,19788.00,credit_card,14000,36,14.08,479,19914,48,1728,2/1/2018,2/1/2021
Justin Clark,database manager,1,NY,RENT,"93,000","7,750",17.57,121034,83008.00,credit_card,32000,36,6.71,984,38442,98,3528,2/1/2018,2/1/2021
Lauren Cooper,,,LA,MORTGAGE,"27,000","2,250",17.56,17400,12400.00,debt_consolidation,8400,36,20.39,314,13538,31,1116,3/1/2018,3/1/2021
Charles Walton DDS,administrative assistant,10,MD,MORTGAGE,"50,000","4,167",17.56,186990,10432.00,credit_card,3000,36,9.43,96,3849,10,360,3/1/2018,3/1/2021
Joseph Brown,bus driver,4,NY,MORTGAGE,"70,000","5,833",17.56,267870,33657.00,debt_consolidation,23650,36,5.32,712,27425,71,2556,3/1/2018,3/1/2021
Michelle Glover,management ,2,PA,MORTGAGE,"65,000","5,417",17.56,236860,34842.00,credit_card,10000,36,9.43,320,12829,32,1152,3/1/2018,3/1/2021
Paul Gallegos,owner ,10,IN,MORTGAGE,"100,000","8,333",17.56,146521,66181.00,house,20000,36,9.43,640,25658,64,2304,2/1/2018,2/1/2021
Julie Fields,production scheduler,10,VA,OWN,"56,000","4,667",17.55,55201,45651.00,debt_consolidation,15000,60,14.08,350,25560,35,2100,1/1/2018,1/1/2023
Thomas Smith,,,CA,MORTGAGE,"42,000","3,500",17.54,27700,15033.00,debt_consolidation,10000,36,16.01,352,14803,35,1260,3/1/2018,3/1/2021
Jill Jackson,human resources supervisor,10,SC,MORTGAGE,"101,000","8,417",17.54,333021,80746.00,debt_consolidation,23200,36,7.35,720,28316,72,2592,1/1/2018,1/1/2021
Danielle Bishop,parts sales,10,CA,MORTGAGE,"63,000","5,250",17.54,43416,23143.00,debt_consolidation,21500,60,11.99,478,34389,48,2880,1/1/2018,1/1/2023
Sandra Sanders,rn,1,TN,MORTGAGE,"42,000","3,500",17.54,437918,14848.00,debt_consolidation,25000,60,14.08,583,42600,58,3480,1/1/2018,1/1/2023
Patrick Wells,sr operations manager,10,TX,MORTGAGE,"80,000","6,667",17.53,228305,34744.00,credit_card,8000,36,7.96,251,9910,25,900,3/1/2018,3/1/2021
Janice Jones,,,CA,RENT,"20,000","1,667",17.53,40300,12013.00,other,15000,36,6.08,457,17736,46,1656,2/1/2018,2/1/2021
David Patton,administrative services manager,5,CA,MORTGAGE,"175,933","14,661",17.53,617535,85344.00,debt_consolidation,20000,36,9.92,645,25952,64,2304,3/1/2018,3/1/2021
Michael Clark MD,lab manager/ dental assistant,10,TN,RENT,"38,000","3,167",17.53,33624,13236.00,debt_consolidation,10000,36,16.02,352,14806,35,1260,2/1/2018,2/1/2021
Steven Kramer,quality assurance engineer,2,CA,RENT,"78,500","6,542",17.53,140892,57432.00,debt_consolidation,9000,36,7.34,279,10982,28,1008,3/1/2018,3/1/2021
Danielle King,detailer,4,FL,RENT,"25,000","2,083",17.53,16414,6018.00,debt_consolidation,7000,36,15.04,243,10158,24,864,3/1/2018,3/1/2021
Rebecca Sawyer,internet sales & marketing manager,2,AL,RENT,"53,900","4,492",17.52,40962,19438.00,debt_consolidation,10000,36,10.42,325,13126,32,1152,2/1/2018,2/1/2021
Elizabeth Glenn,executive chef,4,FL,MORTGAGE,"82,000","6,833",17.52,335803,32922.00,debt_consolidation,20000,36,7.97,626,24782,63,2268,2/1/2018,2/1/2021
Juan Soto,director,10,MI,OWN,"83,000","6,917",17.52,84553,25925.00,credit_card,12000,36,6.72,369,14419,37,1332,2/1/2018,2/1/2021
Daniel Edwards,supply chain project manager,0,NJ,RENT,"144,000","12,000",17.52,82795,59792.00,debt_consolidation,35000,36,12.61,"1,173",48241,117,4212,3/1/2018,3/1/2021
Terri Lopez,"director, enterprise solutions",2,PA,RENT,"125,000","10,417",17.52,220941,140301.00,debt_consolidation,18000,60,7.96,365,25164,36,2160,2/1/2018,2/1/2023
Shannon Weber,meat manager,10,AZ,MORTGAGE,"55,000","4,583",17.52,235060,36799.00,debt_consolidation,4800,36,7.35,149,5858,15,540,2/1/2018,2/1/2021
Erin Gardner,account manager,4,NY,RENT,"75,000","6,250",17.51,42708,16299.00,debt_consolidation,25000,36,9.92,806,32440,81,2916,3/1/2018,3/1/2021
Matthew Smith,,,CA,RENT,"36,051","3,004",17.51,29800,7861.00,credit_card,6000,36,7.97,188,7435,19,684,1/1/2018,1/1/2021
John Grant,manager,10,NC,MORTGAGE,"140,000","11,667",17.51,107147,87862.00,debt_consolidation,20000,36,16.01,703,29606,70,2520,3/1/2018,3/1/2021
Kelly Rodriguez,joint venture partner,2,GA,MORTGAGE,"140,000","11,667",17.51,425018,96587.00,small_business,10000,36,11.99,332,13597,33,1188,1/1/2018,1/1/2021
Heather Jones,,,TN,RENT,"26,592","2,216",17.51,22350,9894.00,debt_consolidation,13000,60,19.42,340,25623,34,2040,2/1/2018,2/1/2023
Wayne Reyes,electronic tech,10,NV,MORTGAGE,"110,000","9,167",17.5,398173,52030.00,credit_card,28000,60,9.43,587,41202,59,3540,3/1/2018,3/1/2023
Matthew Kelly,admissions coordinator ,2,TN,OWN,"35,000","2,917",17.5,29882,24803.00,debt_consolidation,12000,60,20,318,24000,32,1920,1/1/2018,1/1/2023
Jessica Baxter,criminal finanacial obligaions senor,3,AZ,RENT,"36,000","3,000",17.5,222303,17964.00,other,20000,36,19.03,733,31418,73,2628,1/1/2018,1/1/2021
Elizabeth Hoffman,shipping ,4,FL,RENT,"30,000","2,500",17.5,49100,6296.00,credit_card,5600,36,6.07,171,6620,17,612,3/1/2018,3/1/2021
Carolyn Warren,staff field adjustor,5,TN,MORTGAGE,"82,768","6,897",17.49,159128,55230.00,debt_consolidation,2000,36,16.02,70,2961,7,252,1/1/2018,1/1/2021
