Names,profession,loan_purpose,total_credit_utilized,loan_amount,interest_rate,term,ten_of monthly,total_satoshis,total_sp_value,payoff_date,sp_price_on_date,btc_price_on_date,btc_sold_on_term,sp_sold_term,total_payment,spent_strategy
Yolanda Williams,housing specialist,debt_consolidation,98193,5000,11.99,36,17,8169010,0.2108,2/1/2021,3773,33064,2701,795.3484,4824,432
Michael Thompson,bartender/server,debt_consolidation,28178,7500,15.05,36,26,12493780,0.4375,2/1/2021,3773,33064,4130.94,1650.6875,50640,4560
Sara West,instructor,debt_consolidation,47334,20000,20.39,36,75,36039750,0.93,2/1/2021,3773,33064,11916.18,3508.89,26864,2220
Debbie Marquez,teacher,debt_consolidation,47268,13200,9.93,36,43,20662790,0.5332,2/1/2021,3773,33064,6831.94,2011.7636,17069,1476
Linda Acevedo,international shipping agent,home_improvement,3249,25000,6.71,36,77,37000810,0.9548,2/1/2021,3773,33064,12233.95,3602.4604,23186,2160
Kurt Jones,coating tech,other,48473,6000,7.96,36,19,9130070,0.2356,2/1/2021,3773,33064,3018.77,888.9188,12979,1152
Gregory Patel DDS,line worker,debt_consolidation,17074,19200,12.61,36,64,30753920,0.7936,2/1/2021,3773,33064,10168.48,2994.2528,68160,5580
Brittany Flores,vice president,debt_consolidation,151637,35000,15.05,60,83,46271504,1.494,2/1/2023,4119,23137,10705.84,6153.786,40183,3360
Samantha Fox,program coordinator,debt_consolidation,65335,26000,11.98,60,58,32334304,1.044,2/1/2023,4119,23137,7481.19,4300.236,2040,180
Scott Knox,import booking and pricing rep,debt_consolidation,30433,2200,17.09,36,8,3844240,0.0992,2/1/2021,3773,33064,1271.06,374.2816,9750,864
Matthew Rivera,client services coordinator ,debt_consolidation,36063,22400,9.92,60,48,26759424,0.864,2/1/2023,4119,23137,6191.33,3558.816,46195,4140
Cameron Wolf,,vacation,95552,2500,11.99,36,8,3844240,0.0992,2/1/2021,3773,33064,1271.06,374.2816,25234,2340
Anna Stone,contract administrator,other,48349,4200,7.35,36,13,6246890,0.1612,2/1/2021,3773,33064,2065.47,608.2076,32469,3024
Casey Sanchez,vault cashier,credit_card,50759,10000,10.42,36,32,15376960,0.3968,2/1/2021,3773,33064,5084.24,1497.1264,7321,684
Tracy Williams,painter,other,53675,8000,12.61,36,27,12974310,0.3348,2/1/2021,3773,33064,4289.83,1263.2004,13597,1188
Scott Guzman,assistant prosecutor,credit_card,64769,4000,11.99,36,13,6246890,0.1612,2/1/2021,3773,33064,2065.47,608.2076,66605,5340
Jordan Ellis,owner operator,debt_consolidation,768,30000,18.06,36,109,52377770,1.3516,2/1/2021,3773,33064,17318.19,5099.5868,4965,468
Lisa Sullivan,welder,home_improvement,2412,4000,12.62,36,13,6246890,0.1612,2/1/2021,3773,33064,2065.47,608.2076,16543,1440
Christopher Miranda,behavioral health coordinator ,major_purchase,184542,15000,9.93,36,48,23065440,0.5952,2/1/2021,3773,33064,7626.36,2245.6896,14515,1260
Stephanie Durham,deputy warden,credit_card,29725,25000,16.02,36,88,42286640,1.0912,2/1/2021,3773,33064,13981.65,4117.0976,23115,2016
David Silva,deputy cio/g6,credit_card,180019,5900,18.06,36,21,10091130,0.2604,2/1/2021,3773,33064,3336.53,982.4892,15377,1404
Yolanda Bennett,,debt_consolidation,68178,23800,15.05,60,57,31776816,1.026,2/1/2023,4119,23137,7352.2,4226.094,11259,972
Sarah Bridges,recruiter,debt_consolidation,109696,24000,20.39,60,64,35679232,1.152,2/1/2023,4119,23137,8255.1,4745.088,12832,1152
Victoria Thomas,equipment mechanic,debt_consolidation,108349,10000,16.01,36,35,16818550,0.1364,2/1/2021,3773,33064,5560.89,514.6372,29101,2592
Marco Bowman,testing technician,home_improvement,53137,20400,21.45,60,56,31219328,1.008,2/1/2023,4119,23137,7223.22,4151.952,48052,4428
Melissa Spence,operator,house,96519,25000,12.62,60,56,31219328,1.008,2/1/2023,4119,23137,7223.22,4151.952,15440,1368
Scott Baker,billing clerk,debt_consolidation,18973,15000,7.96,36,47,22584910,0.5828,2/1/2021,3773,33064,7467.47,2198.9044,90152,7020
Bruce Johnson,saw operator,debt_consolidation,26654,33100,14.08,60,77,42926576,1.386,2/1/2023,4119,23137,9931.92,5708.934,21629,1980
Denise Taylor,editorial director,debt_consolidation,47710,24000,7.97,36,75,36039750,0.93,2/1/2021,3773,33064,11916.18,3508.89,6103,576
Rick Mathis,property manager,debt_consolidation,23614,28800,10.91,36,94,45169820,1.1656,2/1/2021,3773,33064,14934.95,4397.8088,12979,1152
Adam Lewis,renal social worker,debt_consolidation,101390,12000,26.3,60,36,20069568,0.648,2/1/2023,4119,23137,4643.5,2669.112,28951,2520
Kaitlin Turner,,other,33418,15000,12.62,36,50,24026500,0.62,2/1/2021,3773,33064,7944.12,2339.26,8401,756
Laura Wheeler,ultrasound tech,other,31368,30000,9.44,60,63,35121744,1.134,2/1/2023,4119,23137,8126.12,4670.946,49270,4284
Mary Murillo,hr manager,debt_consolidation,142522,12000,9.93,36,39,18740670,0.4836,2/1/2021,3773,33064,6196.42,1824.6228,28442,2448
Jeffery Decker,account executive,debt_consolidation,157471,7500,6.08,36,23,11052190,0.2852,2/1/2021,3773,33064,3654.3,1076.0596,6416,576
Matthew Russell,assembly,other,16000,2000,17.09,36,7,3363710,0.0868,2/1/2021,3773,33064,1112.18,327.4964,29278,2520
Tracy Ward,gunnersmate,moving,30118,12800,17.09,36,46,22104380,0.5704,2/1/2021,3773,33064,7308.59,2152.1192,38638,3240
Tammy Lee,software engineer,credit_card,83049,35000,24.85,60,102,56863776,1.836,2/1/2023,4119,23137,13156.57,7562.484,3025,252
Crystal Holmes,project manager,debt_consolidation,154158,16000,6.08,36,49,23545970,0.6076,2/1/2021,3773,33064,7785.24,2292.4748,23219,1980
Phillip Henry,resource specialist/program manager,car,81307,6600,7.35,36,20,9610600,0.248,2/1/2021,3773,33064,3177.65,935.704,26872,2220
James Cardenas,"system manager, quality- rn",credit_card,27398,8000,12.62,36,27,12974310,0.3348,2/1/2021,3773,33064,4289.83,1263.2004,11845,1008
Kelly Berger,,credit_card,4664,5000,20,36,19,9130070,0.2356,2/1/2021,3773,33064,3018.77,888.9188,8117,756
Jerry Dickerson,maneger,home_improvement,25804,24000,15.05,36,83,39883990,1.0292,2/1/2021,3773,33064,13187.24,3883.1716,6635,576
Andrew Quinn,paraeducator ,credit_card,4878,5000,7.97,36,16,7688480,0.1984,2/1/2021,3773,33064,2542.12,748.5632,8866,828
Keith Stephens,certified pharmacy technician,debt_consolidation,10289,4000,17.09,36,14,6727420,0.1736,2/1/2021,3773,33064,2224.35,654.9928,49740,3960
Kellie Boyd,accounts payable,debt_consolidation,72751,12975,15.05,36,45,21623850,0.558,2/1/2021,3773,33064,7149.71,2105.334,9425,792
Terry Fuller,,debt_consolidation,15283,21000,16.02,60,51,28431888,0.918,2/1/2023,4119,23137,6578.29,3781.242,16117,1332
Christina Smith,,debt_consolidation,8499,10000,16.02,36,35,16818550,0.7,2/1/2021,3773,33064,5560.89,2641.1,24934,2232
Philip Johnson,engineering expeditor,debt_consolidation,5115,3000,11.99,36,10,4805300,0.124,2/1/2021,3773,33064,1588.82,467.852,16960,1440
John Johnson,owner,debt_consolidation,136552,6000,9.93,36,19,9130070,1.2012,2/1/2021,3773,33064,3018.77,4532.1276,11507,972
Vanessa Baker,test technician,debt_consolidation,28495,6000,6.08,36,18,8649540,0.2232,2/1/2021,3773,33064,2859.88,842.1336,15418,1296
Ryan Gilmore,psychiatric social clerk i,car,83167,7000,9.44,36,22,10571660,0.2728,2/1/2021,3773,33064,3495.41,1029.2744,20448,1680
Elizabeth Rogers,director,debt_consolidation,96480,8400,18.45,36,31,14896430,0.3844,2/1/2021,3773,33064,4925.36,1450.3412,7964,720
Erin Carpenter,program manager,debt_consolidation,40000,10000,17.09,60,25,13937200,0.45,2/1/2023,4119,23137,3224.65,1853.55,30760,2460
Vanessa Stephens,flight supervisor,debt_consolidation,46189,20000,11.99,60,44,24529472,0.792,2/1/2023,4119,23137,5675.38,3262.248,14224,1224
Ryan Fletcher,sr program administrator iii,debt_consolidation,297461,8000,16.02,36,28,13454840,0.3472,2/1/2021,3773,33064,4448.71,1309.9856,7101,612
Nancy Lewis,fixed assets manager,debt_consolidation,55690,35000,12.62,36,117,56222010,1.4508,2/1/2021,3773,33064,18589.25,5473.8684,59860,5100
Sara Jones,tire technician,debt_consolidation,23005,2400,12.62,36,8,3844240,0.0992,2/1/2021,3773,33064,1271.06,374.2816,6956,648
Julie Cook,driver,debt_consolidation,37990,15000,17.09,36,54,25948620,0.6696,2/1/2021,3773,33064,8579.65,2526.4008,28148,2448
Joseph Turner,cto clerk,debt_consolidation,31052,20000,25.82,60,60,33449280,1.08,2/1/2023,4119,23137,7739.16,4448.52,31388,2460
Austin Walsh,customer service manager,debt_consolidation,29457,38000,7.35,36,118,56702540,1.4632,2/1/2021,3773,33064,18748.13,5520.6536,26540,2340
Sarah Crawford,driver,other,13526,30000,21.45,36,114,54780420,1.4136,2/1/2021,3773,33064,18112.6,5333.5128,23192,2160
Gary Chandler,coo,debt_consolidation,64786,36000,9.44,36,115,55260950,1.426,2/1/2021,3773,33064,18271.48,5380.298,2596,216
Gabrielle Gonzalez,pipewelder,other,110232,12000,19.03,36,44,21143320,0.5456,2/1/2021,3773,33064,6990.83,2058.5488,13597,1188
Christine Lewis,owner/operater,debt_consolidation,12285,5000,17.09,36,18,8649540,0.2232,2/1/2021,3773,33064,2859.88,842.1336,53092,4716
Ashley Gill,nurse,debt_consolidation,34466,6000,10.91,36,20,9610600,0.248,2/1/2021,3773,33064,3177.65,935.704,19890,1800
Katherine Chambers,community liaison,credit_card,78341,6000,9.92,36,19,9130070,0.2356,2/1/2021,3773,33064,3018.77,888.9188,23362,2088
Amber Golden,electrical worker,debt_consolidation,18907,20000,9.93,36,64,30753920,0.7936,2/1/2021,3773,33064,10168.48,2994.2528,8530,756
Brittany Cox,social worker,credit_card,46579,4000,6.71,36,12,5766360,0.1488,2/1/2021,3773,33064,1906.59,561.4224,13602,1224
Michelle Cunningham,bartender,credit_card,51956,12000,10.9,36,39,18740670,0.4836,2/1/2021,3773,33064,6196.42,1824.6228,14189,1332
Krista Tucker,accounting specialist,debt_consolidation,231673,10000,17.09,36,36,17299080,0.4464,2/1/2021,3773,33064,5719.77,1684.2672,12802,1116
Jeffrey Peterson,family and community advocate ,credit_card,120958,7000,13.59,36,24,11532720,0.2976,2/1/2021,3773,33064,3813.18,1122.8448,9516,828
Tara Madden,senior transportation surveyor,other,115079,5000,6.72,36,15,7207950,0.186,2/1/2021,3773,33064,2383.24,701.778,33480,2640
Kathy Harris,partner,small_business,146318,35000,13.59,36,119,57183070,1.4756,2/1/2021,3773,33064,18907.01,5567.4388,15826,1332
Michael Stephenson,csr,debt_consolidation,41026,3200,18.06,36,12,5766360,0.1488,2/1/2021,3773,33064,1906.59,561.4224,15127,1296
Leslie Cook,graphic designer,debt_consolidation,28093,20000,7.35,36,62,29792860,0.7688,2/1/2021,3773,33064,9850.71,2900.6824,33381,2700
Ronald James,president,major_purchase,50845,20000,18.06,36,72,34598160,0.8928,2/1/2021,3773,33064,11439.54,3368.5344,10900,972
Michelle Burton,,debt_consolidation,18815,10000,14.07,60,23,12822224,0.414,2/1/2023,4119,23137,2966.68,1705.266,2757,252
Diana Silva,,credit_card,17575,10000,5.31,36,30,14415900,0.372,2/1/2021,3773,33064,4766.47,1403.556,42663,3708
Jose Decker,administrative,credit_card,53932,15000,17.09,36,54,25948620,0.6696,2/1/2021,3773,33064,8579.65,2526.4008,39369,3492
Jason Brown,truck driver ,credit_card,3432,5000,10.9,36,16,7688480,0.3,2/1/2021,3773,33064,2542.12,1131.9,6007,540
Kristen Rogers,office manager,debt_consolidation,18330,25000,12.62,60,56,31219328,1.008,2/1/2023,4119,23137,7223.22,4151.952,61800,5220
Curtis Briggs,technologist,debt_consolidation,66231,36000,10.42,36,117,56222010,1.4508,2/1/2021,3773,33064,18589.25,5473.8684,16889,1476
Jamie Moore,hydrologist,debt_consolidation,37210,4400,14.08,36,15,7207950,0.186,2/1/2021,3773,33064,2383.24,701.778,9910,900
Tracy Crawford,cash application specialist,debt_consolidation,23549,10000,9.44,36,32,15376960,0.3968,2/1/2021,3773,33064,5084.24,1497.1264,51105,4200
Debra Luna,it support,house,25602,2000,10.42,36,6,2883180,0.0744,2/1/2021,3773,33064,953.29,280.7112,49275,3900
Linda Simon,owner,debt_consolidation,140957,40000,9.44,36,128,61507840,1.5872,2/1/2021,3773,33064,20336.95,5988.5056,30420,2580
John Nicholson,,debt_consolidation,12782,10000,11.99,36,33,15857490,0.4092,2/1/2021,3773,33064,5243.12,1543.9116,9600,792
Jennifer Arnold,senior chemist,debt_consolidation,252708,24000,9.43,36,77,37000810,0.9548,2/1/2021,3773,33064,12233.95,3602.4604,36800,3120
Matthew Walker,lead driver,debt_consolidation,58091,24000,19.42,60,63,35121744,1.134,2/1/2023,4119,23137,8126.12,4670.946,10451,900
Bradley Smith,maintenance technician   ,debt_consolidation,19247,6000,13.59,36,20,9610600,0.248,2/1/2021,3773,33064,3177.65,935.704,37665,3000
Lisa Nguyen,porter ,credit_card,8920,10000,10.42,36,32,15376960,0.3968,2/1/2021,3773,33064,5084.24,1497.1264,20396,1800
Michelle Williams,electrical engineer,debt_consolidation,1642,15000,18.06,36,54,25948620,0.1116,2/1/2021,3773,33064,8579.65,421.0668,32626,2880
Brandon Taylor,radiologist,debt_consolidation,20657,30000,18.06,60,76,42369088,0.7564,2/1/2023,4119,23137,9802.94,3115.6116,19455,1680
Marissa Wilkerson,,home_improvement,19723,5000,12.62,36,17,8169010,0.2108,2/1/2021,3773,33064,2701,795.3484,58030,4560
Jordan Montgomery,,credit_card,51091,16000,19.03,60,42,23414496,0.756,2/1/2023,4119,23137,5417.41,3113.964,24375,2196
Gregory Barnett,sales,debt_consolidation,57734,24000,11.99,60,53,29546864,0.954,2/1/2023,4119,23137,6836.26,3929.526,14419,1332
Christina Williams,school counselor ,credit_card,131423,5500,9.92,36,18,8649540,0.2232,2/1/2021,3773,33064,2859.88,842.1336,4354,360
Amy Cooper,consultant,debt_consolidation,64803,6500,6.08,36,20,9610600,0.248,2/1/2021,3773,33064,3177.65,935.704,8982,792
Zachary Walker,truck driver,house,70830,10000,7.97,36,31,14896430,0.3844,2/1/2021,3773,33064,4925.36,1450.3412,6007,540
Michelle Collins,maintenance mechanic,credit_card,54514,40000,6.08,36,122,58624660,1.5128,2/1/2021,3773,33064,19383.66,5707.7944,21111,1836
Randy Mason,partner,debt_consolidation,468948,40000,6.72,36,123,59105190,1.5252,2/1/2021,3773,33064,19542.54,5754.5796,13915,1296
Debbie Hayes,medicare supervisor,debt_consolidation,30129,18500,6.08,36,56,26909680,0.6944,2/1/2021,3773,33064,8897.42,2619.9712,23642,2196
Donald Pace,distribution,debt_consolidation,33852,20000,9.93,60,42,23414496,0.756,2/1/2023,4119,23137,5417.41,3113.964,1925,180
Toni Moore,maintenance ,debt_consolidation,18576,10000,11.99,36,33,15857490,0.4092,2/1/2021,3773,33064,5243.12,1543.9116,10266,936
Robert Lane,assistant principal,debt_consolidation,12244,10000,10.41,36,32,15376960,0.3968,2/1/2021,3773,33064,5084.24,1497.1264,27818,2220
Thomas Martinez,,car,8330,4000,10.42,36,13,6246890,0.1612,2/1/2021,3773,33064,2065.47,608.2076,15646,1368
Shawn Navarro,welder,major_purchase,21471,16000,21.45,36,61,29312330,0.7564,2/1/2021,3773,33064,9691.83,2853.8972,16408,1332
Meagan Newman,area manager,home_improvement,48416,20000,11.98,60,44,24529472,0.792,2/1/2023,4119,23137,5675.38,3262.248,52192,4320
Kevin Smith,sergeant,debt_consolidation,94412,35000,7.35,36,109,52377770,0.75,2/1/2021,3773,33064,17318.19,2829.75,17040,1380
Michelle Romero,manager,credit_card,22502,6000,15.04,36,21,10091130,0.2604,2/1/2021,3773,33064,3336.53,982.4892,6101,576
Samantha Zhang,senior vice president,other,93966,16000,16.02,36,56,26909680,0.6944,2/1/2021,3773,33064,8897.42,2619.9712,22254,1800
Christopher Jackson,nurses aid,debt_consolidation,8035,12800,7.35,36,40,19221200,1.4378,2/1/2021,3773,33064,6355.3,5424.8194,23993,1980
Angel Taylor,tso,credit_card,33403,4800,14.08,36,16,7688480,0.1984,2/1/2021,3773,33064,2542.12,748.5632,19528,1800
Heather Rodriguez,information systems manager,debt_consolidation,139989,36000,12.61,60,81,45156528,1.458,2/1/2023,4119,23137,10447.87,6005.502,42672,3708
Megan Escobar,forklift driver,credit_card,31909,10000,9.93,36,32,15376960,0.3968,2/1/2021,3773,33064,5084.24,1497.1264,26096,2160
Lisa Turner,practice coordinator ,debt_consolidation,40569,7200,7.34,36,22,10571660,0.8372,2/1/2021,3773,33064,3495.41,3158.7556,25958,2304
Michael Bryant,executive director,debt_consolidation,75446,20000,25.82,36,80,38442400,0.992,2/1/2021,3773,33064,12710.6,3742.816,14600,1296
James Craig,driver,debt_consolidation,49806,40000,13.59,60,92,51288896,1.656,2/1/2023,4119,23137,11866.71,6821.064,16749,1440
Heather Kennedy,security officer,other,17500,2500,7.97,36,8,3844240,0.0992,2/1/2021,3773,33064,1271.06,374.2816,20505,1800
David James,team leader,debt_consolidation,9431,35000,14.08,60,82,45714016,1.476,2/1/2023,4119,23137,10576.85,6079.644,4800,396
Justin Kelley,vp - project manager,debt_consolidation,137723,30000,9.93,60,64,35679232,1.152,2/1/2023,4119,23137,8255.1,4745.088,36277,3000
Adriana Liu,financial analyst,debt_consolidation,74578,16000,6.08,36,49,23545970,0.6076,2/1/2021,3773,33064,7785.24,2292.4748,19528,1800
Nichole Lewis,nails tech ,debt_consolidation,10138,8000,16.02,36,28,13454840,0.3472,2/1/2021,3773,33064,4448.71,1309.9856,19685,1764
Michael Knight,enviromental services,credit_card,16832,15000,12.62,36,50,24026500,0.62,2/1/2021,3773,33064,7944.12,2339.26,20526,1836
Shelby Fields,executive manger,debt_consolidation,161203,19450,21.45,36,74,35559220,0.9176,2/1/2021,3773,33064,11757.3,3462.1048,15210,1260
Abigail Robinson,operations manager,debt_consolidation,19714,5000,9.43,36,16,7688480,0.1984,2/1/2021,3773,33064,2542.12,748.5632,41450,3300
Lisa Winters,teacher,home_improvement,54182,8400,7.34,36,26,12493780,0.3224,2/1/2021,3773,33064,4130.94,1216.4152,11029,972
Michael Fitzgerald,supply chain manager,credit_card,17790,28000,15.05,60,67,37351696,1.206,2/1/2023,4119,23137,8642.06,4967.514,38060,3060
Christopher Garcia,hris manager,credit_card,88016,40000,7.35,60,80,44599040,1.44,2/1/2023,4119,23137,10318.88,5931.36,1312,108
Robert Davis,,debt_consolidation,9535,9525,15.05,36,33,15857490,0.975,2/1/2021,3773,33064,5243.12,3678.675,23552,2040
Andrea Lane,program project manager,moving,102669,16000,12.61,36,54,25948620,0.6696,2/1/2021,3773,33064,8579.65,2526.4008,27572,2412
Natalie Archer,counter parts rep,debt_consolidation,23152,15000,10.91,36,49,23545970,0.6076,2/1/2021,3773,33064,7785.24,2292.4748,34725,2700
Randall Bennett,personal care assistant,credit_card,28509,16000,19.03,60,42,23414496,0.756,2/1/2023,4119,23137,5417.41,3113.964,15863,1440
James Jensen,foreman,debt_consolidation,65271,35000,12.62,36,117,56222010,1.4508,2/1/2021,3773,33064,18589.25,5473.8684,14077,1224
Tonya Singh,senior accountant,major_purchase,115598,3000,18.06,36,11,5285830,0.1364,2/1/2021,3773,33064,1747.71,514.6372,13426,1224
Christopher Ingram,manager/supervisor,major_purchase,39679,40000,13.59,60,92,51288896,1.656,2/1/2023,4119,23137,11866.71,6821.064,47845,4200
Angela Harding,rda,credit_card,27035,7150,6.07,36,22,10571660,0.2728,2/1/2021,3773,33064,3495.41,1029.2744,26928,2280
Rebecca James,supervisor,debt_consolidation,24925,15000,17.09,60,37,20627056,0.666,2/1/2023,4119,23137,4772.48,2743.254,49665,4104
Shirley Rhodes,originator,debt_consolidation,22173,20000,14.07,60,47,26201936,0.846,2/1/2023,4119,23137,6062.34,3484.674,32610,2700
Donald Parrish,porter,debt_consolidation,18002,15000,10.91,36,49,23545970,0.6076,2/1/2021,3773,33064,7785.24,2292.4748,41902,3540
Heather Griffin,department management,debt_consolidation,7707,6500,6.72,36,20,9610600,0.248,2/1/2021,3773,33064,3177.65,935.704,3318,288
Tracie Hernandez,mechanic shop foreman,debt_consolidation,22276,18000,6.71,36,55,26429150,0.682,2/1/2021,3773,33064,8738.53,2573.186,65220,5400
Arthur Fox,pricing strategist ,major_purchase,23630,18000,5.32,36,54,25948620,0.6696,2/1/2021,3773,33064,8579.65,2526.4008,6008,540
Gary Sanford,operations analyst,credit_card,53413,12800,10.91,36,42,20182260,0.5208,2/1/2021,3773,33064,6673.06,1964.9784,20725,1620
Matthew Wilson,production,debt_consolidation,40410,15000,11.99,36,50,24026500,0.62,2/1/2021,3773,33064,7944.12,2339.26,20317,1764
Julia Johnson,security guard ,debt_consolidation,21837,7475,18.06,36,27,12974310,0.3348,2/1/2021,3773,33064,4289.83,1263.2004,5798,540
John Johnson,social services coordinator,debt_consolidation,129470,10000,15.05,36,35,16818550,1.2012,2/1/2021,3773,33064,5560.89,4532.1276,53856,4560
Lisa Simmons,executive assistant ,debt_consolidation,30500,9000,6.08,36,27,12974310,0.3348,2/1/2021,3773,33064,4289.83,1263.2004,13670,1200
Benjamin Watson,,credit_card,33308,25000,7.35,36,78,37481340,0.9672,2/1/2021,3773,33064,12392.83,3649.2456,9145,792
Jennifer Rose,broker/realtor,credit_card,15312,20000,13.59,36,68,32676040,0.8432,2/1/2021,3773,33064,10804.01,3181.3936,10211,864
Kelly Hogan,sr mech spec,debt_consolidation,41311,28000,21.45,36,106,50936180,1.3144,2/1/2021,3773,33064,16841.54,4959.2312,22482,1800
Don Stone,warehouse worker,credit_card,4191,5600,21.45,36,21,10091130,0.2604,2/1/2021,3773,33064,3336.53,982.4892,7697,684
Andre Anderson,teacher,credit_card,27228,13000,13.59,60,30,16724640,0.54,2/1/2023,4119,23137,3869.58,2224.26,8277,756
Scott Francis,it tech ii,debt_consolidation,52392,40000,9.93,36,129,61988370,1.5996,2/1/2021,3773,33064,20495.83,6035.2908,4728,432
Jessica Mueller,,credit_card,45961,15600,13.59,60,36,20069568,0.648,2/1/2023,4119,23137,4643.5,2669.112,18024,1656
Nicole Maynard,administrative assistant ,credit_card,80834,12000,6.08,36,37,17779610,0.4588,2/1/2021,3773,33064,5878.65,1731.0524,40775,3360
Gina Thompson,software engineer,other,18872,18000,14.08,60,42,23414496,0.756,2/1/2023,4119,23137,5417.41,3113.964,11593,1080
Donald Lozano,shipping and picking,other,23886,3200,10.42,36,10,4805300,0.124,2/1/2021,3773,33064,1588.82,467.852,10510,936
Melissa Gregory,relationship manager,debt_consolidation,44822,20000,11.99,60,44,24529472,0.792,2/1/2023,4119,23137,5675.38,3262.248,9459,864
Matthew Armstrong,sr financial analyst,debt_consolidation,71578,40000,9.93,60,85,47386480,1.53,2/1/2023,4119,23137,10963.81,6302.07,24615,2160
Joseph Duran,teacher/coach,debt_consolidation,97746,15000,15.05,36,52,24987560,0.6448,2/1/2021,3773,33064,8261.89,2432.8304,45416,4068
Susan Swanson,budget analyst,credit_card,39258,8000,6.08,36,24,11532720,0.2976,2/1/2021,3773,33064,3813.18,1122.8448,28545,2280
Ray Anderson,customer retention representative,house,29507,3000,10.91,36,10,4805300,0.124,2/1/2021,3773,33064,1588.82,467.852,35560,3096
Debra Solis,warehouse worker,home_improvement,37182,20000,23.87,60,57,31776816,1.026,2/1/2023,4119,23137,7352.2,4226.094,21002,1872
Jacob Sosa,cashier,debt_consolidation,19456,20000,16.02,60,49,27316912,0.882,2/1/2023,4119,23137,6320.31,3632.958,16724,1512
Yvette Collins,intervention specialist,debt_consolidation,282334,32000,9.93,60,68,37909184,1.224,2/1/2023,4119,23137,8771.05,5041.656,27682,2340
Amanda Bradford,captain,debt_consolidation,54779,15000,19.03,60,39,21742032,0.702,2/1/2023,4119,23137,5030.45,2891.538,44037,3660
David Shah,banquets setup supervisor,car,4364,4200,7.35,36,13,6246890,0.1612,2/1/2021,3773,33064,2065.47,608.2076,31527,2520
Tommy Riley,phone banker,debt_consolidation,28899,13500,9.43,60,28,15609664,0.504,2/1/2023,4119,23137,3611.61,2075.976,30040,2772
Sarah Villarreal,rental navigator,debt_consolidation,67189,18000,13.58,60,41,22857008,0.738,2/1/2023,4119,23137,5288.43,3039.822,30254,2556
Ana Collins,service,debt_consolidation,61946,10000,9.93,36,32,15376960,0.3968,2/1/2021,3773,33064,5084.24,1497.1264,4522,432
Mrs. Nicole Walters,product development engineer- ford,major_purchase,12545,25000,5.32,36,75,36039750,0.93,2/1/2021,3773,33064,11916.18,3508.89,33541,2580
Amy Frey,,debt_consolidation,34545,17950,16.01,36,63,30273390,0.7812,2/1/2021,3773,33064,10009.59,2947.4676,48930,4080
Brian Olson,technical lead,debt_consolidation,24850,40000,9.44,60,84,46828992,1.512,2/1/2023,4119,23137,10834.82,6227.928,33284,2880
Pamela Gray,sales & marketing,credit_card,40303,24000,9.93,60,51,28431888,0.918,2/1/2023,4119,23137,6578.29,3781.242,21623,1980
Tammy Arroyo,financial advisor,credit_card,85017,24000,15.05,60,57,31776816,1.026,2/1/2023,4119,23137,7352.2,4226.094,4620,432
Melissa Lopez,beer lead,major_purchase,7189,10000,15.04,60,24,13379712,0.1125,2/1/2023,4119,23137,3095.66,463.3875,12407,1080
Christina Norman,alarm and detection technician ,other,32168,9600,13.59,36,33,15857490,0.4092,2/1/2021,3773,33064,5243.12,1543.9116,4136,360
Craig Pham,rn,debt_consolidation,83976,12000,17.09,60,30,16724640,0.54,2/1/2023,4119,23137,3869.58,2224.26,12388,1116
Christopher Barber,administrative specialist ii,debt_consolidation,18959,10000,10.91,36,33,15857490,0.4092,2/1/2021,3773,33064,5243.12,1543.9116,4881,432
Jordan Decker,owner,debt_consolidation,31028,25000,16.02,60,61,34006768,1.098,2/1/2023,4119,23137,7868.15,4522.662,4806,432
Leslie Gallagher,,other,7243,2500,10.91,36,8,3844240,0.0992,2/1/2021,3773,33064,1271.06,374.2816,14866,1368
Laurie Kemp,truck driver,debt_consolidation,41822,20000,13.59,36,68,32676040,0.8432,2/1/2021,3773,33064,10804.01,3181.3936,2365,216
Emily Griffin,chefs ,vacation,16113,10000,6.08,36,30,14415900,0.372,2/1/2021,3773,33064,4766.47,1403.556,46384,4320
Paul Sandoval,cell director/operator_3,other,16678,10000,9.44,60,21,11707248,0.378,2/1/2023,4119,23137,2708.71,1556.982,21203,1740
Mary Hunter,aaiii,debt_consolidation,17813,10000,10.9,36,33,15857490,0.4092,2/1/2021,3773,33064,5243.12,1543.9116,24410,2232
Stephanie King,rn,major_purchase,149350,8000,7.96,36,25,12013250,0.31,2/1/2021,3773,33064,3972.06,1169.63,12832,1152
Mary Jones,sales manager,debt_consolidation,67205,15000,9.93,36,48,23065440,0.5952,2/1/2021,3773,33064,7626.36,2245.6896,5922,504
Donna Martinez,,credit_card,13736,10000,10.91,60,22,12264736,0.396,2/1/2023,4119,23137,2837.69,1631.124,23166,2124
Franklin Ewing,food service management,moving,42897,2800,9.44,36,9,4324770,0.1116,2/1/2021,3773,33064,1429.94,421.0668,7258,612
Dillon Osborn,product manager,debt_consolidation,48173,5000,9.44,36,16,7688480,0.1984,2/1/2021,3773,33064,2542.12,748.5632,45347,3720
Lawrence George,,credit_card,129421,8500,6.07,36,26,12493780,0.3224,2/1/2021,3773,33064,4130.94,1216.4152,60840,5160
Mary Kane,database administrator,debt_consolidation,68000,16000,19.42,60,42,23414496,0.756,2/1/2023,4119,23137,5417.41,3113.964,51328,4608
